Stories,Category
"
                    Hi, and thanks for reading. My wife and I love each other very much, we
often hold hands and kiss etc, but since she became pregnant and gave
birth to our son her libido has practically vanished. Our son turns 3 in
a few weeks and it is a hard reality to confront, but it has been years
since she has been excited about getting intimate. She tells me daily
that she is the luckiest woman, and I know how much she loves me (with
all her heart), and I absolutely adore her, but when it comes to the
bedroom, it's all very one sided. We are intimate on occasion, 5 or 6
times in the last 12 months, but I know she is just doing it for me and
it doesn't have the emotional connection I would love. We've talked
about it, but when we do I can tell she feels very guilty, and that's
the last thing I want! She was diagnosed with depression and anxiety 4-5
years ago, and has regular counselling, and I know she has body image
issues (I find her very attractive but she doesn't find herself
attractive), I know that these are likely what are causing her low
libido, but I really don't know what to do. She would love to want more
sex, but I don't know if that is for my sake or hers at this point.
We've done work together on love languages and I've focused on showing
her love in ways that she likes the best, and she does the same, there's
just this one snag and it gets me down even though I know why it's
happening. People comment on how they wish they had a loving
relationship like ours, I know that there's no perfect relationship, but
it is hard to feel loved, and yet so unloved as well. I know that
mismatched libido is not uncommon, but I feel that ours is quite
extreme. I'm not really sure what the purpose of my post is actually, I
don't think that there are any easy fixes, I guess I want to put this
out there to let other people know that if they're going through
something similar, they're not alone. If anyone has any thoughts I'd
love to hear them (sorry for the essay).
                ",DEPRESSION
"
                    Hi all. I just need to get this out somewhere. I am in a very dark
place. I feel as though someone is sitting on my chest and have so much
emotional pain yet feel numb at the same time. Im alone and lonely. I
hate myself and who I am. I am so tired of fighting to get well and when
I go to bed I pray to not wake up. I can’t keep going on like this. I
need to get better
                ",DEPRESSION
"
                    I’ve been struggling with my life for the past 7-8 years but I finally
made an appointment with a doctor. I feel really scared though because I
don’t ever go to the doctor for anything, and I havent seen this doctor
for so many years that I’m really scared that they’ll judge me or won’t
believe anything I say. I’m really anti social so I feel like I won’t be
able to say what I wanna say or I’ll say the wrong thing causing them to
just dismiss me and move me along without helping. I’m just tired of
feeling alone, depressed and just worthless but I’m really scared to
talk to them.
                ",DEPRESSION
"
                    This forum is for people seeking support for their own mental health
issues. If you're posting on behalf of someone else with a mental health
issue that you're concerned about, please have a look at this section of
our forums: Supporting family and friends with a mental health condition
It's full of threads from people who have family members and friends
going through anxiety, depression or other related conditions. Have a
read through the threads there, and feel free to take part in the
discussions. Below are also some helpful beyondblue resources you might
want to look through first as well: Supporting someone Have the
conversation
                ",DEPRESSION
"
                    Hi Everyone, Here are some ideas you might like to try for managing
symptoms of depression. Of course everyone's different, so let us know
what works for you, and please feel free to add to the list...
Mindfulness – through breathing or engaging the 5 senses Distress
Tolerance – Accepting Emotions and Self Soothing Distraction – Put the
thoughts/feelings aside and come back to them when you are ready to deal
with them Positive Affirmations – Have some affirmations written down
repeat them to yourself daily Sleep/Exercise/Diet – All 3 aspects of our
lifestyle can impact the way we think/feel Increasing Pleasurable
Activities – Engage in at least one pleasurable activity per day
                ",DEPRESSION
"
                    Hello, I am a 14 (turning 15 later on in the year) year old girl who was
diagnosed with ADD (inattentive ADHD) and level 2 autism probably about
a year ago. Recently, a psychologist had me do a questionnaire and when
they got the results back, they told my mum that my answers showed I
could clinical depression. Honestly, I wasn’t too surprised, because
ever since the start of high school I have noticed my mood changing as
well as developing a ‘procrastination monster’ who stops me nearly
everyday from doing stuff from basic chores to having a quick, easy
shower. I think year 8 was the start of most of it: My attendance
started to get really bad because I would jump right into bed after
school, never get out, wake up in the morning realising I wasn’t ready,
then miss the bus. Neither my poor mum or myself could tell if I had a
serious problem or if I was just super lazy. Now that I’m in year 9, I
feel like I’m always moody, causing everyone to get stressed out and
then upset at me. When it gets bad, I often get thoughts of how nice it
would be for everyone if I disappeared: Mum would no longer have a
dramatic, sulky daughter, my sister would spend 80% less time having to
fight with an annoying older sister, and everyone would have a whole lot
less stressing out to do. I also don’t feel okay with my body. I stress
eat, or just eat when I’m bored. When I get lollies, I try to eat a few,
then end up eating the whole packet. When I feel gross, I desperately
want to exercise but the singular though drains me, just like mum asking
me to do the dishes. Why do I make it such a big deal? She spends all
her time at work just to afford food for my sister and I can’t even get
myself to do the dishes.. What kind of daughter am I? Part of me really
wants to help her, but it’s like there’s a weight that keeps me down on
the couch or in bed. Someone tell me, am I depressed? Am I
procrastinating? Is this just a symptom of ADD? Or am I just lazy? I
want to be able to save myself before I become so unbothered that I quit
all my favourite sports and never see anyone again. I don’t want to, but
I could stop taking care of myself entirely and disintegrate by decaying
in my own filth for too long. I think I amheading in that direction.
Someone please let me know if you have ever felt this way, because I
feel so selfish and stupid.
                ",DEPRESSION
"
                    I have been suffering from depression since Feb, I have tired 2
medication and there has been complications with both of them, the first
one saved me back in 2020 when I had a physical and mental breakdown.
Everything goes back a difficult marriage which I have stayed in for
years. Which we couldn't have children and tonnes of fertility treatment
and crazy amounts of verbal and physical violence to a point I cracked
after a bad back injury and 18 mouths of hell happened I was on a
certain medication for months and didn't know what happening. I ended up
at my parents in bed crying all day and not knowing anything, then I
found a doctor that helped me who was train shrink and naturopathy and
she save me. Then 3 years later after being normal and off medication
for 18 months. I hurt my back again and flood of anxiety came and all
the problems started with the meds and not before long the depression
set in and marriage I rebuilt collapsed again and I'm back at my elderly
parents again off work for last month and not sure what to. Not on any
meds. Barely coping and maybe trying a third medication or maybe doing
tms treatment or going into a treatment clinic. My life is a mess always
crying and now have zero energy. That probably on half what happened in
the last 15 years with marriage and mental health. I just had to get
that off my chest. Thank you
                ",DEPRESSION
"
                    I'm going crazy at the moment: My job sucks so much, I can never save
enough for my own home in the future. What are we actually working for?
To survive? Why survive a life when we never have time to live. I just
want a house with a garden to have loads of pets, at least then I can
work to support them. Now, I'm renting and not allowed to have pets
anywhere, it stresses me out and I have nothing to look forward to in
the future. I'm so sick of taking it day by day at the moment, when I'm
at work I would rather paint or do crafts, something that gives meaning
to myself, but I'm so sick of lowering my bar to find a little sliver of
something in the day to day to keep going. It all sounds like excuses to
me to keep going and it's all not good enough anymore for me.
                ",DEPRESSION
"
                    hi everyone, i think i might be depressed, and i think i have been for
quite a while now. i am in my last year of high school and i really need
help. i want to see a psychologist but i dont feel comfortable talking
to my parents about it. they are also very expensive and i think there
is a long waitlist. i have a councillor at school, but i don’t really
want to talk to her about it. it feels weird talking about that stuff at
school, so i keep conversations with her a bit more surface level. what
should i do?
                ",DEPRESSION
"
                    As I sit here at my laptop I ponder where to start and if this is just a
cry out for attention, I'm just a bit lost. Hello my name is David, I am
a gay male, I work as a mechanic/technician and have been for now, just
over 10 years. Due to the toxic and hostile nature of the industry and
trades it made it hard to be open about myself, I made the mistake of
never coming out, being true to myself and open with everyone. As time
went on, I could tell, even though there are nice people I work with, I
had to ""play"" along (playing ""straight""), come up with excuses or fake
stories if there was any questions I had to be quick thinking. This has
not put me in a great position as I've formed some friendships at work
over the years and no one really knows. Sad thing is, I need to get out
of the trade, at least out of this job. The stress and anxiety I
experience actually makes me sick in the morning and i go into a blank
frozen zone in my mind and just shake/panic attack, luckily I'm on meds
that help with that. This is already pretty full on, add to that I've
been suffering depression since probably early 2010's, ups and downs and
the downs have been gradually getting worse. I have a partner which I
proposed to in Japan last year when we were on holiday with friends,
that was a special time of my life (I really wanna go back to Japan too
haha). Add more to the mix of my messed up mind, I have issues a bit
with his weight only because it turned me off during you know what time.
And it really annoys me and makes me sad when i realise this. It's
something I can't help, like a natural impulse thing it's hard to
describe. He's working out, swimming, going for walks, getting a better
job and I couldn't be any more proud of him and I love him so much.
Sadly we haven't made love in probably years, I'm not kidding. It
actually hurts me that my mind just doesn't feel like it (anyone had
this?) I feel like I'm hurting him like I don't love him but it's not
true.. I have fear of getting older tied up with being a failure and
also a strong fear of change, finding a better job and new people etc. I
also haven't had good luck with any psychologist in the past, could be I
just haven't got the one that ""clicks"" with me but even to my own mind I
feel extremely complicated and it's stupid and actually pisses me off.
Sometimes I really want to escape it all, like spiderman no way home,
have nearly everyone forget i ever existed and start again.
                ",DEPRESSION
"
                    Hi. I don't like myself, I compair myself to others and it gets me
depressed because I don't look pretty like them. I over eat because I
don't feel good enough.
                ",DEPRESSION
"
                    Kindly advise me please I was pass homeless because of many situations
but I rebuilt my self back do everything very normal feed my self, pay
my debits but I loss my job didn’t get pay my sick leave since from two
weeks my income loss because I stop work because of many billing and
harassment problem my work place fair work department also failed to
help because I couldn’t find later from doctor because doctor don’t want
give later now I can’t pay my rent and miss pay my debits and no money
for anything and bills and debits miss pay and jest 2 week remaining to
renew my car rego I don’t know what to do. There is many of things pass
and current I’m Stuckey facing feel starting enough and tired hopeless
helpless because I try to talk with many people before this situation
come and after also try to find solutions but I’m failed and every
minutes problem keep growing…………im xmilitry person who living here with
protection visa refugee my self I face many things I’m tired
                ",DEPRESSION
"
                    HiI've been reading many of your posts and loneliness seem to be a
common theme. I've never been able to articulate what loneliness means
to me until I read this quote: ""The story loneliness is much longer than
the story of life. In the sense of what most people mean by living.
Without children or partner, without meaningful family or a home, a day
can last an eternity: a life without those things is a life without a
story, a life in which there is nothing - no narrative dramas - to
alleviate the cruelly meticulous passing of time.The lack of tenderness
or intimacy, loneliness is when nothing will stick to you,, when nothing
will thrive around you, when you start to think that you kill things
just by being there.""
                ",DEPRESSION
"
                    Hey for anyone who is reading this I'm turning 18 this year. I have been
diagnosed with autism, ADHD and depression since I was three years old.
I took medication since was three for the past 15 years of my childhood
life. I didn't notice these symptoms, well to explain it further they
didn't bother me as much, but my parents have suffered a ton of shit
from me when I was little, tantrums, excessive crying, and many more.
but apart from that I was the happiest I had ever been, so much joy that
I never felt sadness. As I grew older, at the age of 13-15 when my body
began to develop into a woman, hormonal emotions were coming out (which
was completely normal at the time) some days I would feel sad, angry,
tired and helpless. and when I got my first period I experienced typical
teenage mood swings, but as you know when a cycle is done those mood
swings tend to settle. However, my 'emotions' wouldn't go away, instead
they would grow stronger and develop bigger until I got so used to them
that it just ended up being normal. my parents questioned me if I was
bipolar or something because I had insanely crazy mood swings every five
seconds, but I just told them 'I was tired and its normal..' years go
by, and i'm age 16, I start to notice something different about myself,
something that I don't recognise anymore. It started small, like with
the crazy outburst of emotions, but then it lead to other things like;
not enjoying what I used to enjoy...for me it was (videogames) and even
when I tried to force myself into playing them, I didn't feel the
satisfaction that I used to when I played them. it wasn't just
videogames it was all my hobbies everything that defined who I was. it
soon came that I grew to a lack of motivation I didn't feel like
completing any daily activities that I used to do, I didn't feel like
moving an inch from my bed I just wanted to sleep and escape reality and
I didn't know why, by this I was angry and upset and confused. life
wasn't living for me and it still isn't now.. the worst part is I can't
figure out if this is just a normal teenage experience or heavy symptoms
of depression. and how do i fix this... how do i fix myself? how do I
just be normally happy?
                ",DEPRESSION
"
                    I’ve been diagnosed with depression and I would like to talk to someone
because I’m just feeling very down right now and a mental health worker
at my school said if I ever feel the need to self harm I could talk to
someone for Beyond blue or minds helpline and other sights like that
                ",DEPRESSION
"
                    I’ve been struggling with my life for the past 7-8 years but I finally
made an appointment with a doctor. I feel really scared though because I
don’t ever go to the doctor for anything, and I havent seen this doctor
for so many years that I’m really scared that they’ll judge me or won’t
believe anything I say. I’m really anti social so I feel like I won’t be
able to say what I wanna say or I’ll say the wrong thing causing them to
just dismiss me and move me along without helping. I’m just tired of
feeling alone, depressed and just worthless but I’m really scared to
talk to them.
                ",DEPRESSION
"
                    This forum is for people seeking support for their own mental health
issues. If you're posting on behalf of someone else with a mental health
issue that you're concerned about, please have a look at this section of
our forums: Supporting family and friends with a mental health condition
It's full of threads from people who have family members and friends
going through anxiety, depression or other related conditions. Have a
read through the threads there, and feel free to take part in the
discussions. Below are also some helpful beyondblue resources you might
want to look through first as well: Supporting someone Have the
conversation
                ",DEPRESSION
"
                    Hi Everyone, Here are some ideas you might like to try for managing
symptoms of depression. Of course everyone's different, so let us know
what works for you, and please feel free to add to the list...
Mindfulness – through breathing or engaging the 5 senses Distress
Tolerance – Accepting Emotions and Self Soothing Distraction – Put the
thoughts/feelings aside and come back to them when you are ready to deal
with them Positive Affirmations – Have some affirmations written down
repeat them to yourself daily Sleep/Exercise/Diet – All 3 aspects of our
lifestyle can impact the way we think/feel Increasing Pleasurable
Activities – Engage in at least one pleasurable activity per day
                ",DEPRESSION
"
                    Hi all,i cant believe im here, so difficult... guess ill explain the
best i can. I have always been a bit of a loner, never had a
relationship but have always been contented with that, i just figured i
was asexual and left it at that. i dont really mentally understand
intimacy? but a year ago i made friends with this amazing girl from the
US who was on a working visa for a year and we became best friends. We
both care about each other a great deal, it didnt get romantic but
honestly neither brought it up or cared we just hung out heaps and
enjoyed life, it was the happiest period of my life by a gigantic
margin. well her visa expired and she moved back to the states. I have
cried every day for a month now, and while we text daily its just not
helping to remove the pain at all... i need her in my life. i feel
hollow like a peice of me is missing and i cant get her out of my head
at all, im obsessed with seeing her again. is that love? ive never felt
it before.Am i depressed if im crying every day? I dont know if i should
tell her how much she means to me now that we are so far apart but at
this point im just really scared and just need another person to give me
an opinion on what to do. i dont have any scary thoughts, but the
sadness i live with at every moment is unbearable. thank you so much for
listening,Roman.
                ",DEPRESSION
"
                    I am 14 years old I have really bad anxiety, ADHD, sensory issues, OCD,
POTS syndrome (not a mental disorder but I used to be able to run 12 km
and now I cant even walk 3) I always feel empty and sad like inside me
is just a black hole of empty nothingness and I am not good enough. on
the outside though I am able to put on a smile for most of the day but
this takes too much energy and I end up crying myself to sleep most days
or not sleeping at all. If anyone has any advice I would love to know.
(I haven't hurt myself or had suicidal thoughts before)
                ",DEPRESSION
"
                    Hi there,I’m currently 27 weeks pregnant and have been feeling a lot of
doubt about if I will be a good mother. On top of that I’m constantly
anxious if my baby is okay which gets draining for me and my husband
also who is always getting my thoughts out loud. I’m worried I’m not a
good person and my baby will be like me. I feel like I’m constantly
upsetting everyone around me and not nice. I have a history of
depression and anxiety pre pregnancy. I love being pregnant but I feel
so alone. I feel like no one cares when I know they do. I tried to talk
to my husband but he just brushes it off and doesn’t realise how much my
mind is being affected by my thoughts. I also feel so guilty for
complaining as I’m lucky to be in this positionhow do I go from here
                ",DEPRESSION
"
                    What am I able to do if I am depressed because of my parents and they
are really making my life very difficult and I am slowly coming to the
stage of thinking about suicide. What am I supposed to do if I have no
one to talk to.
                ",DEPRESSION
"
                    It sounds gross, but I can barely get out of bed to take a shower any
more. I’m quite often going to work without showering because 10 minutes
of lying in bed is better. I’ve tried to set an alarm or force myself to
get up out of bed… but it’s too hard. Also, in the past eight weeks,
apart from going to work, or to the supermarket I have left my home
once… and with meal delivery services I’m worried I’m becoming
agoraphobic.
                ",DEPRESSION
"
                    Recently I've been struggling with my sister and our relationship. Since
her wedding at the start of the year, she has brought up issues with me.
These issues came like an avalanche, without warning, and have derived
from issues which I had believed, were already solved. She has recently
given me an ultimatum, that I need to act according to her wishes, or I
will miss out on some of her events in the future. I feel as though my
sister doesn't want to understand me, or listen to what I have to say,
or even being open minded. It feels like a helpless situation. We live
in different states and a lot of our previous communication has occurred
via text or phone calls. I don't want to communicate via text anymore
because what I'm trying to say always ends up getting misinterpreted. We
are in gridlock at the moment.These past few months, I've been trying to
not think about it too much but underneath it all, I'm mourning the loss
of our previously close relationship. My sister is not in my inner
circle and I'm not in hers and this makes me feel sad. This conflict has
also impacted my other siblings and I feel guilty about this, as I never
wanted this conflict in the first place, or for it to impact anyone
else. At this stage, I can't see the light at the end of the tunnel and
I'm hurting.
                ",DEPRESSION
"
                    Hi, I’m a 57 year old male. I came from an abusive step family
relationship and ran away from home at 15. I ended up being homeless and
drifted from shelter to shelter, state to state and couldn’t keep a job
or make friends. This lasted about 8 years. Fast forward 30 plus years
and I have a beautiful Wife, a lovely home,a good job and plenty of
money. So many trigger points remind me of my past and it depresses me
severely. As I get older it seems to get worse. I see homeless people on
the streets and it breaks my heart as I have been there. I try to ignore
the trigger points but they are so raw and overwhelming. I should be
happy for the fortunate position I’m in now, but my past is a huge
roadblock. Sometimes I wonder if going back to my past ways would ease
the pain.
                ",DEPRESSION
"
                    I have been with my husband for 34 years and recently he has told myself
and our kids that he has had depression for the past 4 years, brought on
by a childhood trauma. The reason it came out was because he felt bad
about telling me a lie, which he then told me the truth and what he's
been going through. He has been speaking with a counsellor over the
phone through work, but he said he feels they are talking from a card.
He has seen his GP and is now waiting on an appt with a local
Psychologist who I found that deals with Trauma/PTSD.For the past few
years I have felt a shift or a difference in his and our relationship
but thought I was causing it all because my Peri Menopause has coincided
with his past 4 years of depression.He has moved out of our bedroom as
he needs his own space and he gets up and down a lot in the night due to
nightmares and permanent nightshift worker at the mines.I feel I no
longer know how to be around him or even just chat with him, because it
seems he doesn't want anything to do with me. And I'm worried I will
upset him.He said he can't talk to me about how's he feeling, and I
think he knows that it might upset me.I have gone from phonecalls or
texts every day to absolutely nothing and don't know if I should be
contacting him just to check-in or what.The only time he seems to talk
to me is when he talks about going to Thailand next year for 2 months by
himself. As he thinks he needs to step out of his comfort zone and go
somewhere to be by himself where no-one knows him. I am just completely
lost and don't know where I am with him anymore. I keep reminding myself
it's not me it's what's going on in his head but it's hard not to take
things personally and I'm sick of getting upset all the time.xx
                ",DEPRESSION
"
                    I was working full time enjoying life until workplace bullying led to
major depressive disorder and anxiety. I had tried to do some work but
the impact on my mental health was significant. After even a 1 hour
consult with a client, I’d be in bed, unable to face the world just
wanting to sleep sometimes for days. Keeping up my role as father and
husband has been severely affected. I’ve now ceased all work and this
did provide an improvement in my mental health but it was short lived. I
am now in a low mood, doing only the necessities of life and spending my
time in bed. I feel paralysed. I can’t seem to move forward. The only
thing I look forward to is bed time, and that is a challenge given my
struggles trying to sleep. On the nights I have a sleeping tablet it’s
great. The noise and self hatred stops until I wake up. I don’t know
what more to do.
                ",DEPRESSION
"
                    Has anyone experienced this, or are you? Is there anything you’ve found
that’s actually helped, even if a little? I’ve always struggled a bit
with self esteem and avoiding things too. In high school I became very
depressed for the first time and lost all my interests, and never really
recovered. I’m 30 now and I feel like a shell of a person, like I don’t
have any strengths or ideas or value. I don’t really know who I am or
what I want. I don’t feel happy, I just scrape by everyday. At the same
time, I think I do have an idea of what I want or what I think I do but
I just maybe haven’t let myself stop and think about it let alone try
achieve it. Like having a partner and a family. I’ve never been in a
proper relationship, I would never let it progress to that. I’ve barely
dated anyone. Just as I’ve started to explore that more I’ve learned I
have premature menopause and I’m likely infertile. I’m finding it so
upsetting and triggering of these feelings, like of course I am I always
knew I’d be alone because I’m defective and unlovable. I know that’s not
logical but I can’t help but believe it and it keeps coming up. I feel
so sad and lonely, none of my friends or family understand. It was so
hard to even get my doctors to me seriously. And when I have opened up
to people they haven’t meant to but making comments like oh yeah my mum
takes that… someone 35 years older than me with three kids and
grandkids…
                ",DEPRESSION
"
                    I’ve been struggling with my life for the past 7-8 years but I finally
made an appointment with a doctor. I feel really scared though because I
don’t ever go to the doctor for anything, and I havent seen this doctor
for so many years that I’m really scared that they’ll judge me or won’t
believe anything I say. I’m really anti social so I feel like I won’t be
able to say what I wanna say or I’ll say the wrong thing causing them to
just dismiss me and move me along without helping. I’m just tired of
feeling alone, depressed and just worthless but I’m really scared to
talk to them.
                ",DEPRESSION
"
                    This forum is for people seeking support for their own mental health
issues. If you're posting on behalf of someone else with a mental health
issue that you're concerned about, please have a look at this section of
our forums: Supporting family and friends with a mental health condition
It's full of threads from people who have family members and friends
going through anxiety, depression or other related conditions. Have a
read through the threads there, and feel free to take part in the
discussions. Below are also some helpful beyondblue resources you might
want to look through first as well: Supporting someone Have the
conversation
                ",DEPRESSION
"
                    Hi Everyone, Here are some ideas you might like to try for managing
symptoms of depression. Of course everyone's different, so let us know
what works for you, and please feel free to add to the list...
Mindfulness – through breathing or engaging the 5 senses Distress
Tolerance – Accepting Emotions and Self Soothing Distraction – Put the
thoughts/feelings aside and come back to them when you are ready to deal
with them Positive Affirmations – Have some affirmations written down
repeat them to yourself daily Sleep/Exercise/Diet – All 3 aspects of our
lifestyle can impact the way we think/feel Increasing Pleasurable
Activities – Engage in at least one pleasurable activity per day
                ",DEPRESSION
"
                    I need to get out of this relationship it's killing me, to the point
It's ruining me as a person and a mother, he won't accept my wishes and
puts the guilt trip on to me and things will change, no it won't I can
see that now, how to I leave without becoming a problem, can I get an
avo out on him,
                ",DEPRESSION
"
                    Hi all, I feel so alone and like I have no friends. When I was younger,
I had many friends and was quite social, but now it feels like no one
wants to hang out with me. I've tried many times to reach out and make
plans, but I get rejected every time. I never get invited anywhere. I
feel jealous when my husband gets invited to hang out with the boys or
go to the pub after work, while I'm stuck at home with the kids because
no one wants to hang out with me. I feel like there's no point in living
if I have no friends. The only reason I haven't done anything is because
of my kids. I constantly think about them and how they would have no mum
around anymore. I pretty much stay at home by myself with nothing to do
and no one to talk to. My husband works crazy hours and is hardly ever
home. My eldest is 14 and is never home, and my youngest is nearly 10,
so it won't be long until she's out most of the time too. I just feel so
alone and always think, ""What's the point in living?""
                ",DEPRESSION
"
                    In earl 2000s I had a serious accident that almost killed me, I was
married and my wife was fantastic through this period of my life we got
through it and life’s rolled on with our two kids who are now grown up.
At age 61 in and late 2022 my mum passed away and in December of that
year I began to transition to retirement in Jan 2023 my wife said she
wanted to leave me. For me this was out of the blue and gutted me still
does. A few weeks after the announcement I found out she was cheating on
me since early 2022. It’s totally gutted me and made me feel ashamed and
worthless as a man and person for that matter. I haven’t been in contact
with her since this time and our financial settlement is completed . So
today I’m feeling low and I see an email from her requesting divorce
proceedings. This has hit me hard and I wounded if I will ever get over
it. I have had counciling and was told I still have PTSD from 2000s
accident and combined with the death of my mother, retirement and wife
leaving me was depressed. Anyway the councillor didn’t work out. In mid
2023 I returned to work and have engrossed myself in my work. I have no
external interest and work is my life and I’m good at what I do. Anyway
today I receive an email for divorce proceedings and it’s hit me hard
and I’m struggling to cope. At 63 I feel like I should be able to cope
and be big enough to move on like my ex but I just can’t seem to.
                ",DEPRESSION
"
                    Im 14 years old and going through a hard time in life but as other
people would just say- oh theres no way your 14 you would never
understand how hard it can be well not exactly i get home from school
evry day and get constantly abused by my sister and if i ever layed a
hand or yelled or swore at her i would get the cops called on me btw my
sister is 16 and bigger then me but the only reason why she gets away
with it and she knows is because she has autism when i have ptsd from my
dad being constantly abusive to me too and adhd i absalutly hate this
                ",DEPRESSION
"
                    Me and my finance have been together for 5 years. We share two beautiful
children of our own and I have a child from a previous relationship. I'm
lacking an emotional connection with my fiance. He's grown up in a
really difficult situation, this makes him block out his emotions
because that's what he learned to do to cope. I'm a highly emotional,
empathetic person. I like to talk about how I feel and this seems to be
overwhelming to him which ends in a fight and him walking away/blocking
me out. The thing that kills me the most is that he could easily walk
away from this relationship if he wanted to and I'd be an absolute
wreck. There's so many times I feel lonely, like I can't express myself
because I don't want it to end in a fight. I love this man so much and
when we are good we are really good. But I need more from him, I need
him to be more than surface level with me. I also resent him for
allowing me to be alone in my feelings, allowing me to sit there crying
while he just walks off to bed because he's had enough of the
conversation. I get people deal with things differently but he won't
even address the situation at a later date he just brushes it off. It
makes me feel unimportant and that my feelings aren't valid. it's
ruining me, I've booked in to see my gp tomorrow to hopefully get a
mental health plan but I feel like he needs to fix himself before this
relationship can ever be fixed.
                ",DEPRESSION
"
                    I’ve been suffering with this issue more than a year now but
unfortunately still couldn’t find an answer. I just had 8 sessions with
my previous psychologist. During 5th or 6th session I started to
develope romantic/erotic thoughts towards my psychologist. It was really
distressing and disturbing to manage my day to day life. These thoughts
were unwanted and irrational. So I raised it with my psychologist and I
thought she would help me with cope with it. Unfortunately she
terminated therapy. Then I felt rejected and abandoned by the person I
mostly trusted and I couldn’t tolerate it. I started to follow her home
after work, stalking her on social media and invading her privacy. I
knew it inappropriate, I didn’t want to scare her, I didn’t want to give
her stress full time, I didn’t want to harass or abuse her, I didn’t
mean anything but I couldn’t control my impulsive thoughts. In the end
she went to the court and applied an IVO against me. It was so shameful
for me so I didn’t want to go to court. I have had past attempts on my
life. After this episode I got pregnant with a baby boy . Unfortunately,
I could complete only 16 weeks. I had a miscarriage. It was
unbelievable, my baby was completely normal had a strong heart beat.
However, I had to give a birth to a dead baby. I am depressed again and
have thoughts towards my previous psychologist. I have urged to go and
see her but my hands are tight by the court order. The buildup pressure
drives me to suicidal thoughts again. I want to stop these cycles
happening again. I’m taking my medication but nothing helps. My
psychiatric discharged me to my GP during the suicidal episode. since
then no other psychiatrist accepts my referral. I haven’t seen a
psychiatrist for 6 months. I asked help from so-called mental health
professionals. No one helps me. I don’t know who to call, when I call
PTS, a nurse told me i’m too far from their hospital. I can’t go to my
nearest hospital as my husband works as a mental health nurse in there.
I had enough, I am so tired , but I have to live for my 3 year old
daughter. I want to know what’s wrong with me. My previous psychiatrist
diagnosed BPD last year. Can someone please help me and tell me what to
do and how to stop these cycle of episodes.
                ",DEPRESSION
"
                    Growing up I didn't like my father because he wasn't ideal. He wasn't
involved, encouraging, praising and socially valuable, affectionate,
understanding and supportive. He never cared about me achieving my
driving, figuring out a life purpose and generally transitioning into a
adult. He was selfish, grandiose, and would talk behind your back and
think lies are nothing, if you don't know their being told. I also hate
his sister I had to know his friend for a little longer than a dozen
years when I was going through high school. I was bullied all during
high school and suffering everyday for six years since 2008 until 2013.
I hated everyone in the school. I had five extra years of bad
mistreating acquaintance toxic relationship's and that lasted until
2018. I haven't agreed with my mental health diagnosis that I had since
2012 - 2014 which was a result because of my mistakes. The
pharmaceuticals I've been involuntary enforced on are detrimental and I
had three years of weight gain, than it lead to some stretch marks and I
was compensating and hating against tablet nausea with the old meds. It
got even worse being diagnosed with pre diabetes in 2017 and than by
2020 I was having the cholecystectomy with my gallbladder being removed.
It's the most un luck that anyone would get, it's literally being
murdered with their treating, yet I'm obviously given no compensation,
no apologies, no voluntary rights since their a promised myth. I've been
destroyed. To make it worse I have this horrible reality of
spirituality, I CAN'T detach, it's connected to the shrinks I was forced
to see back in 2021 when I was demanded into having a admission into
hospital, despite telling them I was fine and not wanting to go, my
general practioner insisted and argued he felt concerned. I just am
constantly discriminated about my intelligence in numerous ways
internally and made to feel different in negative ways. I can't prove it
to anyone, I just know that it's mixed from the American's and my brief
hospital visit, I didn't like the psychologist and the psychiatrist I
had to experience during those four weeks. They invalidated me and were
cold, looking through me as a idiot and spoke to me like I was a child.
I told the doctor I didn't agree with my diagnosis. He extended my time
for two weeks and than I was on a 9 month community order to get a
monthly injection. They see me as a relapse and I was only a voluntary
forced admission, I didn't want to go. They generalise me too.
                ",DEPRESSION
