Text,Explanations,Aspect
"""It feels like talking to my friends is getting increasingly difficult because they’re responding slowly, if at all. I keep telling my friends about how I’m feeling and it’s just starting to feel like they don’t care.""",Talking to my friends is getting increasingly difficult/ they don’t care/,2
“I feel like I’m mourning the loss of my career.”,Mourning the loss of my career/,0
"“I don't even have any energy to vent. I don't remember the last time I felt this awful. Depression has triggered my insomnia again, but this time I keep waking up too early and just become groggy for the entire day.”",don't even have any energy to vent/ Depression has triggered my insomnia/ keep waking up too early/ become groggy for the entire day/,1
"“to have to snap out of it and realise I will be lonely, unlovable and ugly for the rest of my life hurts more than anything and it terrifies me.”","will be lonely, unlovable and ugly for the rest of my life/ hurts more/ terrifies/",3
“I have done my best to support them the best I knew how to and we are at a point where I am being blamed for their problems and the state of their mental health.”,Done my best to support them the best I knew/,2
“Messed up with a helplessness and low self esteem indoctrinated by church ‚not good enough’ and paranoia ‚god sees and knows everything”,Messed up with a helplessness/ low self esteem/ not good enough/ paranoia/,3
“I feel and think the worst and find it really hard to stay positive and I guess look for the light at the end of the tunnel.”,feel and think the worst/ really hard to stay positive/,3
“When each dismissal is putting me and my daughter into spiral of poverty and violence.”,dismissal/ spiral of poverty and violence/,0
"“My brother has left behind some financial stress, and I'm left to now collect the pieces, to cancel his accounts, and to work out a ways to pay back all these ""Afterpay"" type transactions he's made over the last several months on top if fine reminders in the mail.”",Financial stress/ ,0
"“My partner and I had an argument that ended the same way it always does, he shuts it down, everything is my fault and that I have communication issues. He can be very mean, swearing at me, criticising me.”",He shuts it down/ everything is my fault/ I have communication issues/ very mean/ swearing at me /criticising me/,2
“So I’m embarrassed to say that I did a bit of road rage today and now I am freaking out whether I will get in trouble with police.”,embarrassed/ did a bit of road rage/ freaking out/ get in trouble/,3
“I feel like I don’t even deserve friends anymore”,Don't even deserve friends anymore/,2
“Who makes sure I am okay? Who is caring about me?”,Who is Caring about me/,3
"""I am feeling so depressed and lonely lately.""",feeling so depressed/ lonely,3
"""When I'm depressed he'll be depressed and vice versa.""",I'm depressed/ he'll be depressed/,3
“I have been fighting increasing self harm and suicidal thoughts.”,have been fighting increasing self harm/ suicidal thoughts/,1
"""She cries every day and cries herself to sleep most nights.""",cries every day/ cries herself to sleep most nights/,3
“Ive got a long list of diagnosis and have been medicated for a bit over a year. sometimes I forget to take my medication. just one of those things. Despite the medication I am far from cured.”,have been medicated for a bit over a year/ forget to take my medication/ Despite the medication I am far from cured/,1
"""I constantly ruminate and obsess over things that I’ve done in the past and doubt myself to the point where I could pretty much convince myself of anything.""",constantly ruminate and obsess over things/ doubt myself/,3
"""I struggled with fertility for years, multiple losses & then I finally fell pregnant. Pregnancy was traumatic in itself as I was high risk the entire time always terrified I’d lose her.""",Struggles with fertility/ multiple losses/ traumatic/ always terrified/,1
“He was working full time but not working now.”,not working now/,0
"""My mistake is work based and could be catastrophic for my career.""",Mistake is work based/ catastrophic to my career/,0
"“My marriage hasn’t been very good for a long time now.""",Hasn’t been very good/,2
"""Sometimes feels like it would be easier to give up, but I want to get better.”",would be easier to give up/ ,3
"""I wish him well but I will not forgive what he did to me.""",I will not forgive what he did to me/,2
"""I can barely hold in tears when that happens.""",barely hold in tears/,3
"“I still get very panicky (shaky, stressed angry etc) when anything triggers me to think about it. I want these irrational triggers to stop, but being that things is are otherwise good I’m reluctant to do any sort of treatment that might make things worse. I hate talking or thinking about it too.""",Panicky/ treatment/ make things worse/,1
“When people make one single mistake I tend to run and hide because my past friends have bullied me and made me the butt of the joke.”,Tend to run and hide/ past friends have bullied me/ make me the butt of the joke/ ,2
"""I have depression , anxiety and CPTSD. I have been given anti depressants as well as anti psychotic meds.""",anti depressants/ anti psychotic meds/ depression/ anxiety/ CPTSD/,1
"""My husband believes the antidepressants he had 15 years ago caused erectile dysfunction and immature ejaculation (a permanent change). Now he is refusing to take his medication this time around.""",antidepressants/ caused erectile dysfunction and immature ejaculation/ refusing to take his medication,1
"“Since March i have been getting random physical symptoms; in particular pins and needles in hands and feet, electric nerve sensations, muscle fatigue, aches and pains ,metallic taste in my mouth , jaw tightness etc. Even my knee joints are clicking all the time which never happened.”", physical symptoms/ pins and needles in hands and feet/ electric nerve sensations/ muscle fatigue/ aches and pains/ metallic taste in my mouth/ jaw tightness/ knee joints are clicking/,1
"""I have been trying to find a partner which has been the source of countless rejection.""",Trying to find a partner/ source of countess rejection/,2
“I’m over being single and it’s starting to get me down to the point where suicidal thoughts are an every day occurrence.”,get me down/ suicidal thoughts/,3
“I love him and want him back with his family were I know was happy loved and cared for”,Love him and want him back with his family/,2
"“I no longer have drive to better myself. No matter how hard I try to find that one reason to keep going; it eludes me. I’m 21, I have my own place, I start my first year of university in a month. On paper I guess things seem to be looking up but in reality I’m a broken, bitter person.”","No longer have the drive to better myself/ I’m a broken, bitter person/",0
“in a dark place with dark thoughts had cat team on Saturday they’re not understanding”,In a dark place/ dark thought/ not understanding/,0
“I struggle with reaching out for help I always have.”,struggle with reaching out for help/,2
“I am so tired and groggy from constant worry but I can hardly sleep.”,tired and groggy/ hardly sleep/,1
“C-PTSD was triggered by bullying in my workplace from 2008 until 2014.”,bullying in my workplace/,0
“There are lives on hold behind all the arrogance”,Lives on hold/,2
"""We were taken to a quiet office and told that our two eldest brothers (who were twins) had died serving overseas.""",died serving overseas/ ,3
"“I've been in bed mostly since Christmas day. I hate this time of year. It impacts my Mental health greatly. Making today worse, I have yet another rental inspection. These really take their toll on my OCD.”",been in bed mostly/ impacts my Mental health/ toll on my OCD/,1
"“of course the ridiculous shame, guilt, feelings of being a burden and not wanting to make a fuss”","Ridiculous shame, guilt, feelings of being a burden/",2
“There is just so much pressure that I feel like just giving up but I have a family”,so much pressure/ feel like just giving up but I have a family/,3
"“I just want to pretend that it all never happened, but I feel like I’ve crossed a line that changes the trajectory of my life. I’m so anxious about this and I just really don’t know what to do to feel better. I do know that I never want to do this again, and I do want to live.”",pretend that it all never happened/  feel like I’ve crossed a line/ so anxious/ don’t know what to do to feel better/ never want to do this again/ do want to live/,3
“I don’t know why. But I know deep down I am not worthy of love or care. I shouldn't be taking up people's valuable time when they could be helping people who are worthy and actually would respond to treatment and follow through.”,I am not worthy of love or care/ ,2
"""I'm a flawed, imperfect human and a mother of an adult daughter who blames me for all her ills.""","I'm a flawed, imperfect human/ blames me for all her ills/",3
"""I just feel numb and empty.""",feel numb and empty/,3
"""I have been constantly hurt by family, friends and in-laws in my past, and I am at that point in my life where I don’t know how much more I can take.""",Constantly hurt by family/ don’t know how much more I can take/,3
“I don’t know why I’m struggling and it feels like I’m overreacting or doing it to myself.”,struggling/ feels like I’m overreacting/,3
"“Sometimes I have overheard people talking about me in a way that they have clearly misunderstood my intentions or who I am as a person.""",I have overheard people talking about me/ they have clearly misunderstood my intentions or who I am as a person/,2
"""I have considered suicide more days this year, than not.""",considered suicide/,3
“I just want to stay home as I know I won't be judged at home”,want to stay home as I know I won't be judged at home/,2
"“I'm reaching out because my partner of 7 years has depression and I'm struggling trying to support him.I just need nice words, reassurances, to speak to people in a similar situation. ”",Struggling trying to support him/ need nice words/ ,2
"“my Daughter has now had 4 operations on the brain and has been fighting for 15 months now, it breaks my heart a little every day to see her fight just to do basic things,""",breaks my heart/ has been fighting/,3
“I also have a history of major depression and am still taking medication and undergoing psychotherapy”,major depression/ taking medication and undergoing psychotherapy/,1
" ""I was stricken with grief again & in a new relationship with an alcoholic narcissist.""",relationship with an alcoholic narcissist/,2
“It has turned me back to substance abuse again to cope/switch off and I’m getting worse.”,Substance abuse/ getting worse/,1
"""If we don't ""nag"" her, she won't shower or eat properly.""",won't shower/ eat properly/,1
“I feel narcissistic or even like a spoiled brat for even thinking I should have had my turn to get heard & when I heard the counsellor swear at the end it confirmed everything I was feeling.”,feel narcissistic or even like a spoiled brat/ ,3
"“I always look for jobs, but they do not last long, regardless of hard effort and no issues with performance.”",always look for jobs/ hard effort/,0
"“Even within my healthcare career, so many employers, coworkers, patients, social workers and the big decision makers have disregarded the contribution that I have made to my work and to their community so much and so often.”",career/ disregarded the contribution/ ,0
“My partner has more or less bailed out of any family activities because he can't handle the stress.”,bailed out of any family activities/ ,2
“Struggling very lost and confused. Been to hospital earlier this year but I didn’t continue with the medication I was put on while in there.”,didn’t continue with the medication/,1
"""I had two family members die within a few days of each other.""",had two family members die/,3
"""I tried everything but she is refusing to talk.""",she is refusing to talk,2
"""I feel jealous when my husband gets invited to hang out with the boys or go to the pub after work, while I'm stuck at home with the kids because no one wants to hang out with me.""",No one wants to hang out with me/,2
“While I have had lots of down days and spent a whole year not leaving my bedroom I have considered suicide.”,had lots of down days/ spent a whole year not leaving my bedroom/ have considered suicide/,3
“I am just really worried what the future holds and don't know what to do now that she legally is an adult.”,really worried/ what the future holds/ don't know what to do/,3
"“I had multiple skull fractures, bleeding on the brain quite badly and many broken bones.”",multiple skull fractures/ bleeding on the brain/ broken bones/,1
"""When you live on your own, you're beyond isolated.""",Beyond isolated/,2
“I keep changing jobs because I get bored when there is no challenge and now I don't have a job at all because it is harder when you are female and 53.”,keep changing jobs/ get bored when there is no challenge/ don't have a job at all/,0
“I just honestly feel like everyone would be better if I wasn't here with my issues but I don't know how to fix them.”,feel like everyone would be better if I wasn't here with my issues/ don't know how to fix them/,3
"""I want to go home. I want to text someone but I don't want to bother anyone. I wish my life was different.""",Don’t want to bother anyone/,2
“I’ve been feeling pretty unhappy recently and would like someone to talk to”,feeling pretty unhappy / would like someone to talk to/,2
"""I can't shake the regret, anger, and sadness I have with myself.""",regret/ anger/ sadness/,3
"""He will call when he is on the rare occasion out with her to 'dob' on her for things she does and blames me for the things she does.""",Blames me for the things she does/,2
"""The love of my life, my beautiful wife passed away from natural but undetermined causes.""",passed away/ undetermined causes,2
“I know it's all my fault but don't know how to change it because the jealousy comes from a place of extreme bitter pain and disappointment about our own family dreams not coming true which I just can't move on from.”,Extreme butter pain/ disappointment / family dreams not coming true/,3
"“I want to be around him. I miss our previous relationship. But I can’t see things changing. I’m lonely, no one to talk to so bury myself in work, horses and art. ”",Lonely/ no one to talk to/ ,2
"“I’ve been diagnosed with MDD, PTSD & chronically suicidal for the past 6 years. I have attempted a number of times”","diagnosed with MDD, PTSD & chronically suicidal/",1
"“I love him so deeply, and it is so painful to watch him hurt and be miserable. I'm trying to be strong but I feel like I’m make of origami and a gust of wind could blow me over.”",so painful to watch him hurt/ miserable/ trying to be strong/ a gust of wind could blow me over/,3
"""the harsh realisation that I don’t have a support network. My friends are work colleagues from over the years or joint couple friends. I don’t feel I can turn to them.""",Don’t have a support network/ don’t feel I can turn to them/ ,2
"""There are some side effects that I need to mention. I have noticed some difficulty with my memory.",side effects/ difficulty with my memory/,1
"“Ive been struggling with masturbation since I was really young. When I get the urge, I start feeling dizzy and shaky. My heart beats fast and I feel nauseous. After I feel disgusted and angry with myself.”",masturbation/ dizzy and shaky/ heart beats fast/ feel nauseous/ feel disgusted and angry/,1
“I think I am stressing about my work but my work isn't THAT stressful so I think it's my personality mostly.”,stressing about my work/ stressful/ ,0
"""Nearly 11 months ago I lost my husband of 25 years. I have gone from 72kgs to 54kgs and I am lost. I have lost a lots of weight""",have gone from 72kgs to 54kgs/ have lost a lots of weight/ ,1
"""I haven’t talked to her, held her or kissed her in 5 days now and I miss her so much.""","Haven’t talked to her, held her or kissed her in 5 days/ miss her so much/",2
"""I hate to ask for help and hate the situation I’m in but I can’t keep going on like this.""",Hate to ask for help/ hate the situation I’m in/ can’t keep going on like this/,0
"“I am a 40 year old female that has spent the last 10 years in the State Trauma Hospital as an Anaesthetic Technician. My PTSD was brought about after years of exposure to shocking traumas, deaths, and no support from management.”",PTSD/ shocking traumas/ deaths/ ,1
“I currently work 3 days a week. The pay is good but I have this feeling in me that I should be working 5 days a week as I feel bad for my husband.”,Should be working 5 days a week/,0
"""if i were to go into a hospital, tell them that i have suicidal thoughts (no plan to act on them) in general and are worsened due to a new medication, would they do anything? would i be put in the hospital, inpatient, something else?""",suicidal thoughts/ ,3
“I think this should be posted as well for people to know how horrible working Centrelink/Medicare in the corporate environment out there is. It's made me lose passion in my life where I go what's the point.”,Lose passion in my life/ horrible working/,0
"“I feel lonely, isolated, depressed, sad, stuck, rejected, I crave affection so badly.”",Lonely/isolated/depressed/ crave affection so badly/,2
"“I’ve been diagnosed with ADHD, anxiety and depression, but I’m really struggling.”",diagnosed with ADHD/ anxiety and depression/,1
"""Also, my team leader, I'm not very good at communicating with her, work stuff I just can't talk right, others are fine but I'm crap, but non-work stuff is okay.""",Work stuff I just can’t talk right/,0
"“I feel so bad, I know I'm hurting people's feelings by not hanging around them, but I don't want to make them feel like they've done something wrong when it's my fault.”",I’m hurting people’s feelings by not hanging around them/,2
“Im lonely and going broke.”,Lonely/,2
"“I’ll miss my colleagues and my kids, but also worried about the choice I made.”",worried/,3
"""I want to be confident and I want to be able to control my emotions.""",want to be confident/ want to be able to control my emotions./,0
"“Sleep patterns shot, the mood is low, Not see a way forward, and wanting just lay down and not deal with anything”",Sleep patterns shot/ mood is low/ wanting just lay down/,1
"I really only have 1 friend. We used to catch up every 2 weeks, and it was really great, but lately we only get to catch up about once a month or sometimes not even that often.""",Only have 1 friend/ only get to catch up about once a month/,2
"""I feel torn, I do get upset, angry.""",feel torn/ get upset/ angry/,3
"""I'm dealing with the void from my father leaving with no explanation.""",dealing with the void/,3
“I am at a point where it is really impacting on my own mental health and I do not know how to deal with him as I am constantly afraid of saying the wrong thing.”,Do not know how to deal with him /,2
"""I’ve never been in a proper relationship, I would never let it progress to that. I’ve barely dated anyone.""",Never been in a proper relationship/ would never let it progress to that/ barely dated anyone/,2
"""Over a decade later I still am very sad that I had to not allow my ex-husband back into my life. Nothing or no one has filled that void.""",very sad/ not allow my ex-husband back into my life/ Nothing or no one has filled that void/,3
"""There were some extremely delusional thoughts in there that made me beside myself with grief that he would feel such contempt towards me.”",extremely delusional thoughts/ grief/ feel such contempt towards/,3
"“I was still struggling with the fact I'm a single mum to 2 kids suddenly then 3 days ago, I found out he had sex 3 weeks ago with someone who has been his friend for a long time and in her own relationship. She came to visit me the night he was arrested to support me which has messed with my head even more now knowing this.”",Single mum/ ,2
"""It's so painful writing this out, it just feels like there's a big hole in my chest that gets heavier every day.""",so painful/ feels like there’s a big hole in my chest that gets heavier/,3
"""I am terrified. I keep having flashbacks, nightmares & getting chills."" ","terrified/ keep having flashbacks, nightmares/ getting chills/",3
"“I'm not a high level empath, but I think the energies of the people around me definitely has somewhat of an effect on me, to the point that I can actively notice the influence in my anxiety patterns and thinking.”",Energies of the people have an impact on me/,2
"“About six months ago I was diagnosed with adult ADHD, I'm now 21 and the signs were always there, but they were largely blamed on anxiety.”",Adult ADHD/ anxiety/,1
“Honestly I'm about to have a breakdown. I can't cope anymore.”,about to have a breakdown/ can't cope anymore/,3
"""I'm in a really bad personal and family financial situation and my parents are going through a divorce.""",really bad personal and family financial situation/ ,3
"“My mental health conditions include, C-PTSD, Dissociative Disorder, Sensory Issues (touch), major Anxiety and Depression. When the effects started to surface, I was in absolute shock and extremely confused.”","mental health conditions/ C-PTSD, Dissociative Disorder, Sensory Issues (touch), major Anxiety and Depression/ absolute shock",1
"""I want to help but have no idea where to start."" ",Want to help/,2
"“I’ve always felt so insecure about my actual life, my working-class background, my controlling parents, and loathe my body image.”",felt so insecure about my actual life/ loathe my body image/,3
"“I wish I could touch her, I just want to say that I taped her voicemail so wen I need to hear her voice I can , makes me sad but makes me laugh as my mum had a good sense of humour and her voicemail is funny.”",Wish I could touch her/ need to hear her voice/,2
"“I don't have feelings for her anymore, but I am determined to hold things together for the good of the family.”",don't have feelings for her anymore/,3
“I just feel like next time I'm going to lose it and go absolutely off.”,feel like next time I'm going to lose it/ go absolutely off/,3
“It‘s impacting marriage and family with kids and work environment.”,Impacting marriage/,2
"""It’s been 7 years since my mum passed away. It would’ve been her birthday in 7 days time and it’s just another reminder of how much I’ll never hear her laugh again.""",mum passed away/ I’ll never hear her laugh again/,3
"“I work from 7:30am to evening, and just seems like I can't do anything with the money I earn besides pay bills, buy groceries, and rent an apartment.”","Can’t do anything with the money I earn besides pay bills, buy groceries, and rent an apartment/",0
"""I have a family member who is going through a separation of relationship of 11 years and they have small children.""",Separation of relationship of 11 years/,2
"""this weekend is one of the worst weekends I’ve felt for a long time. I’ve just been lying here on my couch alone, in the dark, crying, listening to music""",crying/ lying here on my couch alone/,2
“I am a long term sufferer of mental illness. My current job is high pressure and I am suffering more and more as time goes on. I have taken a lot of leave and am now feeling like it is harder for me to continue on with work.”,Current job is high pressure/ taken a lot of leave/ harder for me to continue on with the work/,0
"""My inner turmoil often resembles a high-speed train derailing at neck-breaking speeds, causing chaos and fear.""",inner turmoil/ causing chaos and fear/ resembles a high-speed train derailing at neck-breaking speeds/,3
"“I can't catch a break, it's literally one thing after another and no one understands!”",One thing after another/ no one understands/ ,2
"“I was born missing supportive bones on one side of my neck. There's no cure, only manageability.”",born missing supportive bones on one side of my neck/ There's no cure/,1
“He has 3 children from a previous relationship whom I have to witness him loving upon them and I cant help but get jealous and compare how much he would have been a wonderful dad to our child.”,cant help but get jealous/ ,3
“I suffer from daily depression and anxiety.”,suffer from daily depression and anxiety/,1
"""I still have days where I’m absolutely shattered and other days I feel more hopeful for our future.""",absolutely shattered/ ,2
“My problem is I am not being able to forgive my in-laws even though they behave in a good way to me sometimes (depends on their mood). My husband showers his love upon them over the phone. I know they are his parents and he must love them. But I feel very angry and disgust towards my husband when he does that.”,Not being able to forgive my in-laws/ feel very angry and disgust towards my husband/,2
“I dropped out of school because I got sick. I'm bedridden most days with an unknown illness.”,got sick/ bedridden most days/ unknown illness/,1
"“I made a huge mistake. I attempted to take my life 3 days ago, and have never regretted anything more than this. I wasn’t even that down when it happened, I drank too much and made the dumbest decision I’ve ever made. ”",made a huge mistake/ attempted to take my life/ never regretted anything more than this/ drank too much/,3
"“I avoid all social interaction with my family these days, recently everyone of them independently has messed me over in a way that’s left me feeling truly alone.”",Avoid all social interactions/ everyone of them independently has messed me over/ left me feeling truly alone/,2
"“I just don't know what's normal but something is telling me that I shouldn't be crying like this & feeling worse, its bringing up past traumas of 'keeping quiet'.”",crying/ feeling worse/ traumas/ keeping quiet/,3
"“my parent’s marriage was holding on by a single thread. I’m so scared. I don’t want to pick sides. I have 2 siblings, I want to be with them.”",Dont want to pick sides/,2
"“Since then I've been forced to isolate due to extreme bullying, harassment, and psychological abuse, and gaslighted that it’s all in my head.”","Forced to isolate/ bullying, harassment, and psychological abuse/ gaslighted/",2
"""I pretty much stay at home by myself with nothing to do and no one to talk to.""",No one to talk to/stay at home by myself/,2
"“I was bullied mainly by one girl (we’ll call her B). At the time I was very quiet and shy which is probably why she targeted me. I just wanted to learn and to fit in at school. """,Bullied mainly by one girl/ fit in at school/,2
“I have bipolar disorder”,have bipolar disorder/,1
"""I try to talk with many people before this situation come and after also try to find solutions but I’m failed.""",Try to talk with many people/ I’m failed/,2
"""I despise staying home, my parents and I do not have a good relationship and being around them worsens my mental health. I spend my days just being out and coming back to sleep at home at 10 pm."" ",Do not have a good relationship/ ,2
“I’m unemployed cos I went to TAFE and no one will give a job. I am trapped .”,Unemployed/ no one will give a job / trapped/,0
“I have ptsd as a result of my time and just want to communicate with other survivors.”,Ptsd as a result of my time/,1
“She just separated from her partner of 9 years o ly about 6 or 7 weeks ago as they were both drinking to much and it was getting to toxic and violent.”,Just separated from her partner/ toxic and violent/ ,2
"""My head burns and aches.""",head burns and aches/,1
"“I am pretty good when I am not along in a group I can feel normal and happy but then after I feel empty. So empty but I know I shouldn’t. I have a job, a partner, I know what I want to achieve.”",Feel empty/ ,2
"""I don't have anyone to speak with.I feel so low that I am no longer communicative at home.""",don't have anyone to speak with/ feel so low/ no longer communicative at home/,2
"“I really don't want to let everyone down. Probably the thing that has stopped me. I'm so lost and confused in my own head, and so frustrated with myself. The intensity of the urge to harm is the strongest it has been in months, and I haven’t had the other thoughts like this in over a year. I hate my brain.”",don't want to let everyone down/ so lost and confused in my own head/ so frustrated with myself/ urge to harm/ hate my brain/,3
“After the last abusive attack I was in a state of extreme hyper vigilance 24/7.”,abusive attack/ extreme hyper vigilance /,1
“He regularly plays a guilt trip on me. I only get calls when he says how horrible he is and wants me to come over and practically work for him.”,Plays a guilt trip on me/ ,2
"“I have basically killed all my emotions, i try my hardest to care for as many people as i can because I cant lose another or next it will be me. I try my best to make sure everyone is ok and doing well whilst i’m over here dying and keeping it to myself”",killed all my emotions/ cant lose another or next it will be me/ dying and keeping it to myself/ ,3
“I am on antidepressants it's helping a bit not a lot.”,antidepressants/,1
“I also have a history of depression and some pretty bad thoughts are creeping up and I'm not sure I would do well with time alone.”,history of depression/ pretty bad thoughts are creeping up/ ,3
"""My mum, my sister and I were physically, verbally and emotionally abused by a border that was living with us. """,emotionally abused/,3
"“The 4 of us have completely humiliated and broken him, destroying his self-worth and his own being. We have done more damage than we have solved.' I replied with I have no idea why he is thinking this in regards to son.”",Completely humiliated and broken him/ destroying his self-worth and his own being/,2
"""I take medications on prescription and over-the-counter pain killers.""",medications on prescription/ over-the-counter pain killers/,1
"“I'm in a new city again and it's very lonely here starting again. It's hard because I miss home, and the plan is to move back one day, but we don't know when one day actually is.”",it's very lonely/ ,2
"“My husband's family, his mother (F53), father (M67), initially did not accept me as a daughter in law. They used to taunt me, insult me in subtle and obvious ways. Sometimes in front of my husband and sometimes behind his back. I always wanted to share my feelings with my husband but he used to get defensive. Didn't stand up for me for an entire year. ”",Taunt/ insult me in subtle and obvious ways/ wanted to share my feelings with my husband/ didn’t stand up for me for an entire year/,2
"""We had been good friends for two years (platonic on my end for most parts) then things happened and he asked me to be his girlfriend.""",He asked me to be his girlfriend/,2
"""Following that I started feeling really light/weak to the point I couldn't feel my muscles in my body...""",feeling really light / weak/ couldn’t feel my muscles in my body/,1
"“I feel like I'm constantly acting. I don't know who I am and how I really feel about things. I recently got diagnosed with severe anxiety and depression. And I'm afraid I'm going to make this my whole “life story"" instead of just living life like everyone else.”",Severe anxiety and depression/ feel like I’m constantly acting/,0
“Just the need to support my staff has crushed the walls I had up and I have gone from being a competent manager to being useless. I am so scared of reverting to my old self and falling apart. ”,Being useless/ falling apart/,3
"""So lonely and just crying.""",lonely and just crying,2
"""I constantly feel so alone in this world and lost like no one understands how hard it is to just keep yourself busy doing so doesn’t change anything.""",feel so alone in this world/ lost/ ,3
“I'm still falling apart at work when criticised or feeling judged or triggered by a client (I work in mental health) spiralling into a tunnel of worthlessness and defeat. ”,Falling apart at work/ spiralling into a tunnel of worthlessness and defeat/,0
"“I'm crying telling myself I’m horrible, selfish. unlovable and nothing is to be gained for asking for help.”",crying/ horrible/ selfish/ unlovable/,3
“I felt manipulated and trapped.”,felt manipulated/ trapped/,3
"""My dad and I were best friends so it hurts all the more.""",hurts all the more/,3
"“I'm in constant pain as well and even my hobbies, which cost money, aren't doing anything anymore and it's impacting my savings.”","my hobbies, which cost money, aren't doing anything anymore/ impacting my savings/",0
" “Can’t build deep friendships, can’t ask for help, can’t stay in jobs over long period of times, don’t have many friends and am distant in my family due to trust issues.”",Can’t build deep friendships/ don’t have many friends/ distant in my family/,2
“Once my wife was pregnant with our first child she went cold turkey; no sex at all. Only the rare prescribed sex such as to induce labor at the end of our pregnancy.”,No sex at all/ ,2
“I'm still not sure though because I've had people bully me straight to my face several times”,Had people bully me straight to my face/,2
"""It was emotionally, mentally and physically draining for months on end.""","emotionally, mentally and physically draining/",3
"""I am just constantly so tired. More than tired. I am physically and mentally exhausted.”",Constantly so tired/ physically and mentally exhausted/,1
"“I got Bipolar Disorder and is unsure of what to do, where to get help and what kind of help do one need to cope with this problem., I think distraction is the one of the best way in getting thru that aweful wave… I do feel that mine lasts longer than it should by the time it’s about to pass a new one starts… just don’t know how to distract myself when I’m too caught up with the idea of SH and/or suicide""",Bipolar Disorder/ too caught up with the idea of SH/ suicide/,1
"“Since his return home, he has been in a depressive state of mind, not doing anything, in bed all day, constantly down and returning to old bad habits.”","not doing anything, in bed all day/ old bad habits",1
"""Last night I had drove away and cried because to this day I still wonder what did I do wrong? Was I not enough.""",drove away and cried/ what did I do wrong/ Was I not enough/,3
"""He struggles to maintain friendships.""",struggles to maintain friendships/ ,2
“Had a couple recent stints in hospital with a bad heart but nothing wrong with it? All stress on my behalf yep have some prostate issues and some old footy injuries giving me grief”,recent stints in hospital / have some prostate issues/ old footy injuries/ grief/,1
"""I do like being here but tired all the time making sure children don't miss out on things.""",Tired all the time/,0
"""When I was younger, I had many friends and was quite social, but now it feels like no one wants to hang out with me.""",Feels like no one wants to hang out with me/,2
"""Also, my team leader, I'm not very good at communicating with her.""",I'm not very good at communicating with her./,2
"“I hate myself for being this way, my life is not otherwise uncomfortable.” ",hate myself for being this way/ ,3
"""I couldn’t stand to think of my life without her, she almost died in my arms.""",couldn’t stand to think of my life without her/ she almost died in my arms/,3
“At this point I fear our marriage is at risk. I find this situation difficult to deal with as I'm helpless thank you”,I fear our marriage is at risk/,2
"“Being social is harder though because I don't feel like being near anyone who'll ask me how I am, then I have to be fake or just burst out crying.”",Being sociaal is harder/ don’t like being near anyone/ I have to be fake or just burst out crying/,2
"""I am so done with everything.""",so done with everything/,3
“I am suffering from Perfectionist Procrastination due to burn out from my OCD. I can never meet what I have listed for myself anymore.”,suffering from Perfectionist Procrastination/ burn out from my OCD/ ,1
"""It leaves me feeling like all I do is irritate and annoy him.""",leaves me feeling like all I do is irritate and annoy him/,3
"“I’ve had issues with sleeping since I was 18.""", issues with sleeping/,1
"""I haven’t been able to eat or to sleep longer than 2 hours in the last 2 days.""",haven’t been able to eat or to sleep longer/,1
“Now I look for help to stop the pain and emptiness and realise it probably is too late to make a difference.”,look for help/ pain and emptiness/,3
“I feel so alone. And completely empty & I don’t know how to fix this.”    ,feel so alone/ completely empty/ don’t know how to fix this,2
“They have been prescribed antidepressants but refuse to take them.”,prescribed antidepressants/,1
“Recently I suddenly/unexpectedly lost my younger brother”,lost my younger brother/,3
"""I’m just tired of feeling alone, depressed and just worthless but I’m really scared to talk to them.""",tired of feeling alone/ depressed and just worthless/ really scared/,3
"""I have put on a lot of weight and I know that I am probably an emotional eater but feel like I have lost all control.""",put on a lot of weight/ lost all control/ eater/,1
"“This tore me apart and still does if I think about it too much as I not only lost my wife, but the other person who I thought I could trust and was a friend who called me brother, also totally betrayed me.”","tore me apart/ lost my wife/ brother, also totally betrayed me/",3
"“I feel silenced, I feel that to speak out & ask for something in return only ends in ugliness, I feel that I am the difficult one & should just learn to shut up & suck it up.”",feel silenced/ should just learn to shut up and suck it up/,0
“But it’s been tough. I don’t love my job and I’m struggling financially with my mortgage back home and paying rent here”,don't love my job/ struggling financially with my mortgage back home and paying rent here/,0
“I no longer have friends to smile with. I no longer have family I can trust.”,No longer have friends to smile with/ no longer have family I can trust/,2
"“Last year I was doing well in school and even got some awards. I could tell that I was happier then and my grades definitely reflected that. At the beginning of this year I had my first few assessments and I did not do as well as I thought ~ 70 for each unit. As the year progressed I started seeing my grades plummet to the 60s and 50s. And for the first time, I failed a few as well. I still fail to study more in my room and  instead resort to video games because I am too sad to write something or solve anything. I don’t know how to get back on track.”",I did not do as well as I thought/started seeing my grades plummet/I failed a few as well./still fail to study more/too sad to write something or solve anything/don’t know how to get back on track/,0
“I feel so stupid & regretful that I ever joined & talked to her.”,feel so stupid/ regretful/,3
"“I feel so lost, sad and alone and I don't know what to do.”","So lost, sad and alone/",2
"""Becoming withdrawn from friends, distant from my kids, short fused, arguing with my absolutely awesome wife over nothing.""",Withdrawn from friends/ distant from my kids/ ,2
